M_CODE,A_CODE,B_CODE,INDEX_CODE,CPN_FORMULA,UP_THRESHOLD,DOWN_THRESHOLD,A_RATIO,THIS_COUPON,NEXT_COUPON,NEXT_RESET_DATE,A_ESTY_NAV,FUND_STATUS,FUND_STEP,POSITION_LEVEL,A_PRE_CLOSE,A_PRE_AMT,A_PRE_NAV,B_PRE_CLOSE,B_PRE_AMT,B_PRE_NAV,M_PRE_CLOSE,M_PRE_AMT,M_PRE_NAV,INDEX_PRE_CLOSE
160620.OF,150100.SZ,150101.SZ,990805.SH,0.03,2.0,0.25,0.5,0.045,0.045,2017-01-03,1.0177,Normal,5,0.95,,3317810.0,1.017,,6384800.0,1.011,,0.0,1.014,
165315.OF,150331.SZ,150332.SZ,399805.SZ,0.045,1.5,0.25,0.5,0.06,0.06,2016-12-01,1.02869,Normal,5,0.95,,6263070.0,1.0282,,40269700.0,0.542,,0.0,0.7851,
161720.OF,150200.SZ,150201.SZ,399975.SZ,0.03,1.5,0.25,0.5,0.045,0.045,2016-12-15,1.01973,Normal,5,0.95,,27467100.0,1.019,,259789000.0,0.455,,0.0,0.737,
160639.OF,150277.SZ,150278.SZ,399807.SZ,0.03,1.5,0.25,0.5,0.05,0.05,2016-09-01,1.0444,Normal,5,0.95,,1152020.0,1.044,,2866450.0,0.414,,0.0,0.729,
167503.OF,150275.SZ,150276.SZ,399991.SZ,0.03,1.5,0.25,0.5,0.045,0.045,2016-12-15,1.01943,Normal,5,0.95,,2802910.0,1.019,,4324560.0,0.339,,0.0,0.679,
160638.OF,150273.SZ,150274.SZ,399991.SZ,0.03,1.5,0.25,0.5,0.05,0.05,2016-09-01,1.04358,Normal,5,0.95,,352019.0,1.043,,983329.0,0.339,,0.0,0.691,
167301.OF,150329.SZ,150330.SZ,399809.SZ,0.03,1.5,0.25,0.5,0.045,0.045,2016-12-15,1.01973,Normal,5,0.95,,430311.0,1.019,,1369730.0,0.807,,0.0,0.913,
160629.OF,150203.SZ,150204.SZ,399971.SZ,0.03,1.5,0.25,0.5,0.045,0.045,2016-11-30,1.0102,Normal,5,0.95,,187178.0,1.01,,8269110.0,1.182,,0.0,1.096,
161024.OF,150181.SZ,150182.SZ,399967.SZ,0.03,1.5,0.25,0.5,0.045,0.045,2016-12-15,1.01393,Normal,5,0.95,,17409200.0,1.014,,175096000.0,0.998,,0.0,1.006,
160626.OF,150179.SZ,150180.SZ,399935.SZ,0.03,1.5,0.25,0.5,0.045,0.045,2017-01-03,1.0177,Normal,5,0.95,,158741.0,1.017,,2876600.0,1.123,,0.0,1.07,
162413.OF,150263.SZ,150264.SZ,990852.SH,0.04,1.5,0.25,0.5,0.055,0.055,2016-12-15,1.02405,Normal,5,0.95,,264257.0,1.0236,,707651.0,0.513,,0.0,0.7683,
163118.OF,150283.SZ,150284.SZ,990808.SH,0.03,1.5,0.25,0.5,0.0525,0.0525,2016-06-20,1.04851,Normal,5,0.95,,650517.0,1.0481,,113992.0,0.6025,,0.0,0.8253,
164821.OF,150327.SZ,150328.SZ,399808.SZ,0.04,1.5,0.25,0.5,0.055,0.055,2017-01-03,1.01728,Normal,5,0.95,,4114.8,1.0168,,103537.0,1.2016,,0.0,1.1092,
160814.OF,150281.SZ,150282.SZ,990934.SH,0.035,1.5,0.25,0.5,0.0575,0.0575,2016-11-30,1.05389,Normal,5,0.95,,278078.0,1.053,,346254.0,0.359,,0.0,0.706,
168203.OF,150287.SZ,150288.SZ,399440.SZ,0.04,1.5,0.25,0.5,0.055,0.055,2016-12-15,1.02405,Normal,5,0.95,,3975070.0,1.024,,9553750.0,0.462,,0.0,0.743,
164820.OF,150325.SZ,150326.SZ,399807.SZ,0.04,1.5,0.25,0.5,0.055,0.055,2017-01-03,1.01758,Normal,5,0.95,,3382.6,1.0171,,92633.6,0.8907,,0.0,0.9539,
