M_CODE,A_CODE,B_CODE,INDEX_CODE,CPN_FORMULA,UP_THRESHOLD,DOWN_THRESHOLD,A_RATIO,THIS_COUPON,NEXT_COUPON,NEXT_RESET_DATE,A_ESTY_NAV,FUND_STATUS,FUND_STEP,POSITION_LEVEL,A_PRE_CLOSE,A_PRE_AMT,A_PRE_NAV,B_PRE_CLOSE,B_PRE_AMT,B_PRE_NAV,M_PRE_CLOSE,M_PRE_AMT,M_PRE_NAV,INDEX_PRE_CLOSE
161812.OF,150018.SZ,150019.SZ,399330.SZ,0.03,2.0,0.25,0.5,0.045,0.045,2017-01-03,1.0174689469008227,Normal,5.0,0.95,0.9740000000000001,13762845.6,1.0170000000000001,0.74,149690533.6,0.6970000000000001,,,0.857,3502.665
165511.OF,150028.SZ,150029.SZ,990905.SH,0.032,2.0,0.25,0.4,0.047,0.047,2017-02-04,1.0138688524590211,Normal,5.0,0.95,1.0070000000000001,265024.9,1.013,1.165,1488718.8,1.17,,,1.107,5732.9018
161816.OF,150030.SZ,150031.SZ,990971.SH,0.035,2.0,0.25,0.5,0.05,0.05,2017-01-03,1.0193815604860654,Normal,5.0,0.95,0.997,99.7,1.0190000000000001,0.9,54310.1,0.903,,,0.961,2533.7688
165515.OF,150051.SZ,150052.SZ,399300.SZ,0.03,1.5,0.25,0.5,0.045,0.045,2016-12-15,1.0144246575342484,Normal,5.0,0.95,0.975,2380417.9,1.014,1.092,8490332.0,1.064,,,1.0390000000000001,3078.2183
162216.OF,150053.SZ,150054.SZ,990905.SH,0.035,2.0,0.25,0.4,0.05,0.05,2017-01-03,1.0193815604860654,Normal,5.0,0.95,0.9890000000000001,100930.0,1.0190000000000001,0.78,185648.0,0.7612,,,0.8643,5732.9018
162010.OF,150057.SZ,150058.SZ,399008.SZ,0.057999999999999996,2.0,0.25,0.4,0.058,0.058,2017-01-28,1.0182739726027423,Normal,5.0,0.95,1.08,45490.7,1.018,1.0,39597.4,1.052,,,1.038,1392.394
161819.OF,150059.SZ,150060.SZ,990944.SH,0.035,2.5,0.25,0.4,0.05,0.05,2017-01-03,1.0193815604860654,Normal,5.0,0.95,1.114,103311.7,1.0190000000000001,0.9079999999999999,3562849.0,0.9690000000000001,,,0.9890000000000001,2270.5927
160808.OF,150064.SZ,150065.SZ,990904.SH,0.035,2.0,0.25,0.4,0.05,0.05,2017-01-03,1.0196721311475465,Normal,5.0,0.95,0.9890000000000001,0.0,1.0190000000000001,0.9740000000000001,4486.0,0.9359999999999999,,,0.9690000000000001,3827.1248
163209.OF,150073.SZ,150075.SZ,990958.SH,0.035,2.0,0.25,0.4,0.05,0.05,2017-01-03,1.0193815604860654,Normal,5.0,0.95,0.991,0.0,1.0190000000000001,1.194,8064.2,1.1640000000000001,,,1.1059999999999999,1336.9505
166802.OF,150076.SZ,150077.SZ,399300.SZ,0.03,2.0,0.27,0.5,0.045,0.045,2017-01-03,1.0177049180327822,Normal,5.0,0.95,1.041,2081.0,1.0170000000000001,1.088,24249.2,1.057,,,1.037,3078.2183
162714.OF,150083.SZ,150084.SZ,399330.SZ,0.035,2.0,0.25,0.5,0.05,0.05,2017-01-03,1.0196721311475465,Normal,5.0,0.95,1.0070000000000001,201.4,1.0193,0.8290000000000001,4259.6,0.8177,,,0.9185,3502.665
162107.OF,150088.SZ,150089.SZ,990905.SH,0.035,2.0,0.25,0.5,0.05,0.05,2017-01-03,1.0196721311475465,Normal,5.0,0.95,1.0,556692.6,1.0193,0.976,313894.3,0.9701,,,0.9947,5732.9018
